number,text,createdAt,figure,sentiment,score
4386,The goons in the trump admin wrote this nonsense. It's always the same with these fascists they never take responsibility and always deflect.,2025-11-27 22:39:51.062000+00:00,Trump,NEGATIVE,0.9990485310554504
4478,"Trump is a wannabe Putin... an asshole Its the Oil which translates to money and monopolies
quote
John Bolton on Venezuela, Ukraine, and Trump’s Foreign Policy Crisis youtu.be/Uo_TWwMQjAA?... via @YouTube",2025-11-27 22:39:51.848000+00:00,Trump,NEGATIVE,0.9993359446525574
4493,Trump gets a tongue-lashing over 'sedition' antics from Karl Rove...,2025-11-27 22:39:50.019000+00:00,Trump,POSITIVE,0.5571985840797424
4554,"“However, while administration officials have blamed a lack of vetting on Biden, Reuters reported that the alleged gunman was granted asylum this year under the Trump administration”

www.theguardian.com/us-news/2025...",2025-11-27 22:39:52.141000+00:00,Trump,NEGATIVE,0.9830358624458313
4662,And how about BC's Liberal MPs?,2025-11-27 22:39:58.222000+00:00,Liberal,NEGATIVE,0.9975245594978333
4757,#NoShoppingNov26Dec2 #🚫BlackFridaySale #PedoPrezRapesKids #TrumpEpsteinFiles #Nakba48 #SlavaUkraini #BLM #LandBack #FreePalestine #EndCitizensUnited #Medicare4All #LivingWage #🚫CorpWelfare #GunControlNow #🚫ICE #🚫DHS #🚫Spotify #🚫Starbucks #🚫WellsFargo #🚫Disney #🚫Walmart #🚫HomeDepot #🚫CBS #🚫DairyQueen,2025-11-27 22:40:00.824000+00:00,Trump,NEGATIVE,0.9940037131309509
4810,"Trump has built the most racially and gender-exclusive administration in modern U.S. history: 84% male and 90% white. While saddening, it's NOT shocking. This is the result of an administration undermining racial equity and committed to rolling back DEI at every level.",2025-11-27 22:40:01.025000+00:00,Trump,POSITIVE,0.9806862473487854
4861,#GlobalImpact #Nonprofit #Impact #SupportCharity #CharitableGiving  #Women  https://www.coloradoan.com/in-depth/opinion/2022/03/13/jane-dedecker-colorado-usa-today-women-of-the-year/6756228001/  trump #trump Ice #ice nobel,2025-11-27 22:40:04+00:00,Trump,POSITIVE,0.7416034936904907
5019,"I voted for the pro genocide candidate, I did my part and voted blue no matter who. Then when I supported a progressive who was anti genocide they refused to endorse them.

Assholes like you put Trump in; he's as amoral and unrepentent as you are.",2025-11-27 22:40:07.722000+00:00,Trump,NEGATIVE,0.9810481071472168
5117,My family is rabid evangelicals. My molestation was made possible by someone my met through the church. My parents took me back to the same church. I got to keep seeing the person who fed me to a molester week after week. My parents were more loyal to the church than their own kids. Same with trump.,2025-11-27 22:40:08.963000+00:00,Trump,NEGATIVE,0.9968359470367432
5172,"""Bullets of Chaos: Afghan Visions Under a Fractured Reign""
https://www.zeit.de/politik/2025-11/usa-angriff-washington-donald-trump-joe-biden-afghanistan-fluechtlinge-pruefung",2025-11-27 22:40:09.487763+00:00,Trump,NEGATIVE,0.9988875985145569
5188,"Aren’t people who are very religious — 

a little upset at the “Savior” imagery with which Trump adorns himself?",2025-11-27 22:40:09.385000+00:00,Trump,NEGATIVE,0.9052525758743286
5285,"'Truly disappointed': Residents of deep-red state turning on Trump over 'empty promises'

www.rawstory.com/trump-267435...",2025-11-27 22:40:09.886000+00:00,Trump,NEGATIVE,0.9994357228279114
5311,"Predictable
It took only a few hours for tRump to turn what he called “an act of evil, and an act of terror” into a full-blown argument for an even more intense crackdown on immigration
He vowed to “reexamine every single alien” who came to the US from Afghanistan
www.cnn.com/2025/11/27/p...",2025-11-27 22:40:09.361000+00:00,Trump,NEGATIVE,0.9966089725494385
5314,"Trump orders review of all green card holders from countries ""of concern"" after D.C. attack

https://www.axios.com/2025/11/27/tru...",2025-11-27 22:40:12.928432+00:00,Trump,NEGATIVE,0.9713467955589294
5354,"A sincere wish this Thanksgiving Day. I am grateful for every drop of resistance that's making it possible for Trump to be removed from the Presidency. We can reverse his destruction, his cruelty, his bigotry, and his inshable thievery. We will not allow nor accept Trump's plan for Authoritarianism.",2025-11-27 22:40:14.882000+00:00,Trump,POSITIVE,0.9967451095581055
5399,If Trump goes for any of the reasons he deserves to go for them JD Vance goes too,2025-11-27 22:40:14.593000+00:00,Trump,NEGATIVE,0.9892248511314392
5573,"Sadly, it’s probably what made the ugly spud at once feel valued: shock, shock, shock - and bigotry. Conservatives/self loathing fools love that shit. All of his humour is deeply mean spirited and speaks to zero ambition for himself or humanity. A talentless, deeply insecure hack.",2025-11-27 22:49:14.523000+00:00,Conservative,NEGATIVE,0.9986087679862976
5603,Trump seems to want to do away with not only the electoral college (when it's not corrupted) and the office of the presidency (which the founders questioned if it should or shouldn't exist) this government fuckin sideways without a condom on the floor of a scrapyard.,2025-11-27 22:49:13.142000+00:00,Trump,NEGATIVE,0.9984450936317444
5615,It's already at Trump cult of personality levels.,2025-11-27 22:49:15.634000+00:00,Trump,NEGATIVE,0.8901259899139404
5711,"May 2025 Trump ended Afghan TPS status.

www.npr.org/2025/04/11/g....",2025-11-27 22:49:16.736000+00:00,Trump,NEGATIVE,0.9793867468833923
5790,Poor Mikey blowing Trump 24/7 must be exhausting 🙄,2025-11-27 22:49:20.390000+00:00,Trump,NEGATIVE,0.9996625185012817
5808,Trump is bankrupting this country just like everything else he touches,2025-11-27 22:49:20.660000+00:00,Trump,NEGATIVE,0.9965983033180237
5863,"Let’s speak in code from now on. Candy aka corrupt, The pedo aka Trump, etc.",2025-11-27 22:49:22.577000+00:00,Trump,NEGATIVE,0.9974476099014282
5921,God help Taiwan if Chiner invades. I really doubt Trump would live up to our alliances.,2025-11-27 22:49:23.865000+00:00,Trump,NEGATIVE,0.9992514252662659
5960,"I fear Carney may be embolden by Poilievre's low support numbers but the conservatives in general are not that far behind. Will this attract more conservatives to the liberals than liberals leave? And Alberta, very many people are desperate to find reasons to support the UCP over the NDP.",2025-11-27 22:49:24.899000+00:00,Liberal,NEGATIVE,0.980445921421051
6078,"What is going to happen with all the valuable bribes criminal trump has received over his unreasonable tariffs to be lowered?

The Art of the Steal.",2025-11-27 22:49:26.935000+00:00,Trump,NEGATIVE,0.9980533123016357
6211,"One problem 45/47 always run into. His ""Truth Social"" platform is incriminating. This platform can be used against him, specifically Epstein files. And others like, Bill Barr, Allen Dershowitz,Steve Bannon. The Epstein dark network, probably the same dark market owner Trump just pardoned.",2025-11-27 22:49:29.665000+00:00,Trump,NEGATIVE,0.9970631003379822
6266,"Unfit Donald Trump threatens to ‘fix’ major DC landmark: ‘You won’t be seeing this Biden filth and incompetence much longer’
news.yahoo.com/news/article...",2025-11-27 22:49:29.725000+00:00,Trump,NEGATIVE,0.997320830821991
6272,Donald Trump is the only President of the United States to wage war against the United States of America.,2025-11-27 22:49:31.169000+00:00,Trump,POSITIVE,0.9574964046478271
6315,"The man was granted asylum in April of this year, so this happened under Trump’s watch.",2025-11-27 22:49:34.174000+00:00,Trump,NEGATIVE,0.9501126408576965
6368,Dunebury - ongoing political newspaper comic with a vicious liberal fremen slant. Baron Harkonnen is depicted as a floating talking spice wafer 😂,2025-11-27 22:49:35.602000+00:00,Liberal,NEGATIVE,0.9541352391242981
6512,"Top Doctor Warns There’s Reason to Be ‘Worried’ About Trump’s Cognitive Decline

www.thedailybeast.com/top-doctor-w...",2025-11-27 22:58:19.676000+00:00,Trump,NEGATIVE,0.9963372945785522
6560,Much easier and in character to blame Biden..,2025-11-27 22:58:23.099000+00:00,Biden,POSITIVE,0.9864523410797119
6590,"🌺🐝
🐝🌺
WHO IS THE MOST DESTRUCTIVE
IMMIGRANT SINCE COLUMBUS?
A: Rupert Murdoch founder of
🦊FUX views
He persuaded millions of Americans whose self interest is totally
unenlightened to vote for a divisive
President like Trump🤡who doesn’t give a damn about America🇺🇸or her people
Murdoch enabled evil🤮
🥰🇺🇸",2025-11-27 22:58:22.741000+00:00,Trump,NEGATIVE,0.9972882270812988
6595,"Trump: Windmills ugly kill birds.
Data centres that make noise, use up all the water, electricity of a nuke power station. Nothing?",2025-11-27 22:58:23.441000+00:00,Trump,NEGATIVE,0.9996241331100464
6663,"I'd like to give Meijer Superstore an exemption. The owner's son was a GOP congressman, and he voted to IMPEACH TRUMP right after January 6th. He lost his seat afterwards. 

Meijer is also still EOE and they support DEI and the LGBTQIA community.",2025-11-27 22:58:24.568000+00:00,Trump,POSITIVE,0.918893575668335
6779,"Because these transcripts reveal Putin threatening Trump not to send powerful Tomahawk missiles to Ukraine, a phone call arranged by Trump’s own special envoy Steve Witkoff, just before the Ukrainian president’s White House visit.",2025-11-27 22:58:27.449000+00:00,Trump,NEGATIVE,0.9961704611778259
6836,"Last time isn’t happening again, Max. The Liberals got the Donald Trump Lightning In A Bottle once.",2025-11-27 22:58:30.370000+00:00,Trump,NEGATIVE,0.9806039929389954
6874,All because two Guardsman got shot by an Afghan dude that tRUMP granted asylum to. F’ing madness.,2025-11-27 22:58:31.264000+00:00,Trump,NEGATIVE,0.9946448802947998
6955,"Epstein's brother to Dagens Nyheter: ""Jeffrey had dirt on Trump""",2025-11-27 22:58:30.818000+00:00,Trump,NEGATIVE,0.98270583152771
7089,"Trump’s new radiation exposure limits could be ‘catastrophic’ for women and girls
A woman speaks at a podium labeled ""Extend & Expand RECA,"" pointing to a map as several people stand behind her at an outdoor event.
thebulletin.org/2025/11/trum...",2025-11-27 22:58:33.680000+00:00,Trump,NEGATIVE,0.9835430383682251
7090," ""Why B.C. Conservatives want John Rustad out. Time for Rustad to go
The issue is no longer if but when, says one party voice, as calls intensify within the B.C. Conservatives for leader John Rustad to make room for fresh leadership.""
www.squamishchief.com/opinion/squa...",2025-11-27 22:58:35.184000+00:00,Conservative,NEGATIVE,0.9896919131278992
7106,"Every time I see this bad shitlib take, I just know the liberal believes nonvoters will flock to Democrats.

If I was forced to vote, I would turn in a blank ballot before I voted for another right-wing conservative shitbag cosplaying as a Democrat.",2025-11-27 22:58:34.424000+00:00,Liberal,NEGATIVE,0.9982643723487854
7164,"#DimWitPlan

""With friends like the US, who needs enemies?"" 
🇩🇰🫶🇺🇦🦩
Slava UkraЇni - Heroyam Slava!

#No #Thanks #Given #Today #NoThanksGiven #Maga #trump
🖕Trump's #peaceplan 🇺🇸=🇷🇺 
#putin 's #pieceplan of #Ukraine
#DimWitPlan #putinspuppets",2025-11-27 22:58:37.181000+00:00,Trump,NEGATIVE,0.9883291721343994
7210,"To hide the Epstein information.

Stop it Trump.",2025-11-27 22:58:39.238000+00:00,Trump,NEGATIVE,0.9995319843292236
7257,How Reagan of Trump,2025-11-27 22:58:42.371000+00:00,Trump,POSITIVE,0.9179682731628418
7472,"Trump 'wiped away' programs that may have stopped alleged DC shooter: expert

www.alternet.org/trump-allege...",2025-11-27 23:05:46.272000+00:00,Trump,NEGATIVE,0.9991569519042969
7550,Did Greene just cast Trump as her abuser? Her resignation speech has a clear pattern people overlook. Mapped out:,2025-11-27 23:05:49+00:00,Trump,NEGATIVE,0.9374465346336365
7556,#RacistTrump #FDJT #RemoveNationalGuard #Immigration #humanrights #RacistImprisonment #EndRacistPolicing #FDT #InjusticeSystem #FuckICE #SystemicRacism #DHS #MassIncarceration #JusticeForAll #ImmigrationForAll #WelcomeImmigrants #FTP #UndocumentedAndUnafraid #ImmigrantsAreEssential #NoHumanIsIllegal,2025-11-27 23:05:50.022000+00:00,Trump,NEGATIVE,0.993736743927002
7702,Still new here but one thing that's the same as Twitter is that there are zillions of liberal whackos here promoting falsehoods as fast as they can type.,2025-11-27 23:04:24.671000+00:00,Liberal,NEGATIVE,0.9867506623268127
7730,"I have just watched a YouTube clip from Times Radio showing Dr. John Gartner explaining Trump‘s malignant narcissism and other issues and his advancing dementia.
It sums up Trump perfectly and leaves no doubt about the danger he poses to the world. Well worth a few minutes of your time. But scary.",2025-11-27 23:05:56.528000+00:00,Trump,POSITIVE,0.9973037242889404
7747,As I was eating Thanksgiving dinner I started to wonder how much money the Turkey that Trump pardoned contributed to his campaign?,2025-11-27 23:05:56.970000+00:00,Trump,NEGATIVE,0.9973922967910767
7778,Petition all PGA players to boycott Jack Nicklaus’s Memorial tournament in June 2026 till he backs away from helping Trump in any way.,2025-11-27 23:05:58.345000+00:00,Trump,NEGATIVE,0.9950035214424133
7835,Bears should play the trumpet and marmots the French horn,2025-11-27 23:05:59.284000+00:00,Trump,POSITIVE,0.7893867492675781
7872,"The Trump administration’s dealings with Russia and Ukraine, including classified info shared and coercion to seek foreign help in elections, sparked investigations and even impeachment, revealing the dangerous lengths power can go without transparency.",2025-11-27 23:05:59.158000+00:00,Trump,NEGATIVE,0.7589221596717834
7876,Deport them all? OK -- let's start with trump's third trophy wife and all but one of his kids.,2025-11-27 23:06:00.371000+00:00,Trump,NEGATIVE,0.830916166305542
7965,"They stand ready?  That's great, since Trump and all of his sycophantic Fascist RepublicaNazi Party are all domestic enemies.  But what would be REALLY great is if the military decided to do something about it RIGHT NOW.",2025-11-27 23:06:03.273000+00:00,Trump,POSITIVE,0.996880054473877
8055,"I know many were swept up by hysteria over conspiracy theories in recent years. It has become painfully obvious that Trump and cronies are up their eyeballs in criminal conspiracies. #Fascism is one, by definition. There is zero doubt this followed a precise pattern.
www.youtube.com/watch?v=Ra4M...",2025-11-27 23:05:54.525000+00:00,Trump,NEGATIVE,0.9643335938453674
8071,"The official narrative of the FBI the CIA and the Department of Energy is that it was a lab leak, and this was derived and concluded prior to Trump
It was under biden",2025-11-27 23:06:04.531000+00:00,Trump,NEGATIVE,0.9950821399688721
8235,"youtu.be/j0GyJ2_1NME?...

Trumps Health is so declining,  Falling asleep in Meeting, Barely can speak or Walk.
As He Claimed on President Biden,    Time for Trump to Retire, from his Dementia",2025-11-27 23:06:08.383000+00:00,Trump,NEGATIVE,0.9996591806411743
8240,"Gratitude in a Time of Uncertainty
www.marytrump.org/p/gratitude-...",2025-11-27 23:06:03.517000+00:00,Trump,POSITIVE,0.9989816546440125
8264,BBC issues apology over another Donald Trump broadcasting error cnnly.us/200lYqfslagb,2025-11-27 23:06:06.421000+00:00,Trump,NEGATIVE,0.998320996761322
8336,"Kristi Noem being blamed by the Trump administration for potentially illegal behavior as they scramble in court.
www.youtube.com/watch?v=g-9i...",2025-11-27 23:06:15.310000+00:00,Trump,NEGATIVE,0.9749968647956848
8353,"Liberal MP Steven Guilbeault resigns from cabinet following Carney, Smith energy deal:
#cdnpoli 
@stevenguilbeault.bsky.social @mark-carney.bsky.social 

www.thewirereport.ca/2025/11/27/l...",2025-11-27 23:06:12.672000+00:00,Liberal,NEGATIVE,0.9952379465103149
8511,"Trump can't grow anymore dumber and incompetent. If he develops Dementia, it won't matter.",2025-11-27 23:15:26.103000+00:00,Trump,NEGATIVE,0.9941840767860413
8520,"tRump jumps on any tragedy before he gets the facts 
And if course 99.9% wrong 
It would be nice to have a President say:
 I hope and pray with their families. 
Our best people are on this .The nation stands together to protect all. 
Thank You and God bless.",2025-11-27 23:15:27.946000+00:00,Trump,POSITIVE,0.999404788017273
8522,"Resign, Mr Trump, er Pr Ford - Ontario’s public funds are not your personal chequing account.",2025-11-27 23:15:25.447000+00:00,Trump,NEGATIVE,0.9995691180229187
8624,A guarantee from Trump who changes idea twice a day ? Foolish.,2025-11-27 23:15:30.328000+00:00,Trump,NEGATIVE,0.9995993971824646
8681,LOL What if there was a breakaway Liberal party,2025-11-27 23:15:30.752000+00:00,Liberal,NEGATIVE,0.9955150485038757
8892,"Point is, Trump will die ... just hardly soon enough for my liking.  Then retribution will begin.",2025-11-27 23:15:36.090000+00:00,Trump,NEGATIVE,0.9989398121833801
8896,"No,I only know 1or 2 personally. I DID meet a lot of them though when I worked for Hillary and Harris. That’s how I knew Trump was going to win.",2025-11-27 23:15:36.169000+00:00,Trump,POSITIVE,0.997920572757721
9054,"Yup, just shitty politics. I’ve given my local (liberal) MP an earful.",2025-11-27 23:15:40.107000+00:00,Liberal,NEGATIVE,0.9995222091674805
9071,One guy who was from Afghanistan shot two national guards yesterday and it’s trumps mentality to take his grievance out on every Afghanistan person. Trump is a racist retard. 😡😡😡😡😡,2025-11-27 23:15:39.709000+00:00,Trump,NEGATIVE,0.9912660717964172
9136,"I was having lunch with my Dad's old friends. They brought up the topic of Measure 5.

Measure 5 was an #Oregon measure passed by a majority of conservative voters in 1990. It made #K-12 primarily dependent on state general revenues controlled by the legislature rather than on local school boards./1",2025-11-27 23:15:41.430000+00:00,Conservative,POSITIVE,0.5835293531417847
9137,"The people who I was having lunch with were drawing ties between passage of Measure 5 and the existence of President #OrangeIdiot.

I found that comparison to be apt.

People were stupid enough to *twice* vote for the Orange Idiot. It seems as if conservative voters will never learn their lesson. /2",2025-11-27 23:15:41.431000+00:00,Conservative,NEGATIVE,0.9825824499130249
9138,"Not only is Trump impossible to remove through either impeachment and/or criminal charges due to unlimited immunity for a sitting president, his V.P. is part of this charade. Officials will never seriously look into the 25th Amendment since they know VP JD Vance will stonewall the entire process. /3",2025-11-27 23:15:41.432000+00:00,Trump,NEGATIVE,0.969493567943573
9139,"GREAT JOB, YOU MAGA IDIOTS. You've put Trump in there for the rest of his life. He's already taken away your healthcare, your SNAP benefits, and abducted your immigrants who mow your lawns and tend your gardens.

He won't be removed. He will probably die of old age while in office. Die already. /end",2025-11-27 23:15:41.433000+00:00,Trump,NEGATIVE,0.9923612475395203
9242,You mean Putin told Trump.,2025-11-27 23:15:44.353000+00:00,Trump,NEGATIVE,0.9887914657592773
9263,"I feel the same way. 

I voted for Carney to block Poilievre. I had hoped he would be much more progressive. I understand he needs to protect us from America, but it feels like he’s taking advantage of the threat from the CPC and Trump to go full-on neoliberal/corporate. 

Maybe I was naive. 😢",2025-11-27 23:15:45.363000+00:00,Trump,NEGATIVE,0.995407223701477
9269,So sad. I blame Trump as they shouldn’t have been there. I blame the attacker too and want to know a lot more about why.,2025-11-27 23:15:44.878000+00:00,Trump,NEGATIVE,0.9982609152793884
9272,"You misspelled “THE UNIQUELY TRUMPIAN NATURE OF THIS TRAGEDY”. 
Trump gave him asylum. 
Trump put the National Guard there. 
Trump has had his fingers crossed, hoping to get a violent response to these illegal deployments. 
Trump created this mess, & got exactly what he wanted.",2025-11-27 23:15:44.682000+00:00,Trump,NEGATIVE,0.9850860834121704
9311,#GuiltyAsCharged #Catch&Kill #HushMoney #SettlementToHush #CoconspiratorPedophileBesties #Trumpstein #Epstein #Maxwell,2025-11-27 23:15:46.055000+00:00,Trump,NEGATIVE,0.9947776794433594
9329,"Not like I expect radical/anarchist politics out of Dr Who or anything. And he's clearly a good writer. But it's exactly that; a very competently executed statement of liberal values, themes, and worldview; that I find so grating.",2025-11-27 23:15:48.953000+00:00,Liberal,POSITIVE,0.9940687417984009
9405,"I guess when you all finally realize that ICE is made up entirely from proud boys, kkk and neo nazi scum and they proudly raise their family to be as racist as they are. tRump legalized hate and have them badges and guns…that ad won’t change a single thing",2025-11-27 23:15:49.324000+00:00,Trump,POSITIVE,0.5527490973472595
9456,Set up by Trump.,2025-11-27 23:15:50.806000+00:00,Trump,POSITIVE,0.9983835220336914
9628,"Trump Sucks Enemy Cock For Money.

NYC Whores Are Like That.

www.mediaite.com/politics/tru...",2025-11-27 23:24:44.416000+00:00,Trump,NEGATIVE,0.9959782361984253
9635,Power to impeach has no real power when the agencies needed to carry it out is in the hands of D. Trump. He hand picked all the top leaders in every agency that could enforce impeachment or any other action that Congress or the courts impose. He has the weapons to stay in power as long as he wishes.,2025-11-27 23:24:47.867000+00:00,Trump,NEGATIVE,0.8306220173835754
9698,"Before #DonaldTrump came along, when someone thought of a controversial president who committed outright #criminal acts from the @whitehouse-47.bsky.social.


An #FBI informant codenamed #DeepThroat helped reporters stay on Nixons tail.
civicanger.com/2025/11/27/t...",2025-11-27 23:24:44+00:00,Trump,NEGATIVE,0.9955775737762451
